Shoe,category,HowTo,EnergySaving
Egg carton,Carton,"Only clean, dry egg cartons can be put in recycling. If you place eggs back in the carton after cracking them, the carton is no longer recyclable: food residue is a contaminant for paper and plastic recycling. First, any egg carton that has been contaminated with food (most likely eggs) cannot be recycled. Food waste can contaminate recycled paper, which is why all recycled items need to be clean. If you put your cracked eggshells back into your egg carton after cracking your eggs, it can't be recycled. Cardboard egg cartons can typically be recycled. However, some recycling centers don’t accept egg cartons of any material, so you have to check with them to be safe. There are likely two reasons for this. Unlike cardboard, styrofoam egg cartons typically cannot be recycled. Although more and more recycling centers are accepting them, the majority of them still reject them. If your local, curbside recycling doesn’t take them, you can likely send them back to the manufacturer to be recycled. What to Do with Egg Cartons? 1 – Compost Them
If your containers are made of cardboard, one of the best disposal options is to compost them. Egg cartons are a brown material (rich in carbon), so they provide a great addition to your compost pile to balance out your carbon-rich items. 2 – Hold Paint If you or your children like to paint small objects or make small paintings, what better way to keep your paint colors separated than an egg carton? The shape and size of each compartment is just about perfect for holding a small amount of paint. 4 – Give Them to a Local Farmer
A great way to get another use out of your egg cartons is to give them to a local chicken farmer. As long as your cartons are clean, they will likely take them off of your hands to be reused for new eggs.",35%
Foam cup,Cup,"That's definitely good news – but unfortunately, even if your local recycling facility accepts #6 plastics, it may not accept EPS. The technology to recycle Styrofoam cups does exist. ... Collected polystyrene products like cups can't be turned back into new cups in what's known as 'closed loop recycling. To recycle Styrofoam, call your local recycling program to find a drop-off site for Styrofoam in your area. Check with local grocery stores as well since some of them, especially Publix, have Styrofoam drop-offs available. You can also set up your own local program if there aren't any others available. 1:  Find a drop-off site for Styrofoam in your area.  2: Set up your own local program. 3: Make sure all EPS to be recycled is clean and free of contaminants before recycling. ",25%
Spread tub,Plastic container,"Plastic storage bins cannot go in your curbside recycling bin. ... They are typically much more interested in things like plastic water bottles, cottage cheese tubs, laundry soap bottles and milk cartons. That means you will need to look into other ways to recycle – or reuse – old plastic storage bins. For lotion bottles and other toiletry items with pumps, empty the contents, discard the pump, and recycle the bottle. For no-pump containers, simply empty the contents, re-screw the cap to keep it all together, and recycle. Check your local ordinances for specific instructions — this category is easily contaminated with incorrect preparation or the wrong materials.",55%
Shoe,Shoe,"Decomposing shoes can cause big problems for the environment. When breaking down, organic shoe materials such as leather, release methane which contributes to climate change. 1: Donate old shoes to charity 2: Instead of throwing your tatty shoes away, you can still donate them using a shoe bank or shoe recycle bin, and the textile parts of the shoe will be made into something more useful. 3: Search for sportswear companies collecting old shoes. Several sportswear brands recycle shoes, including Nike, which runs a Reuse-a-Shoe As part of this scheme, old shoes are transformed into everything from new footwear to large scale sports surfaces. Recycling your shoes might not be as difficult as you think. A few years ago Nike partnered with the National Recycling Corporation to create the Reuse-a-Shoe program. Under this program, Nike takes old athletic shoes of any brand and grinds them into a material used to resurface athletic fields, courts, tracks and playgrounds. For a list of recycling facilities, visit the official website of the program. If there isn’t a recycling facility in your area, you can ship your shoes (athletic only, please) to:
Nike Recycling Center
c/o Reuse-a-Shoe
199 Pearson Parkway
Lebanon, IN 46052",5%
Food waste,Food waste,"Many councils now collect food waste, which can be recycled in several ways including:
In-vessel composting involves mixing food waste with garden waste – shredding it and then composting it in an enclosed systemfor around 2-4 weeks (temperatures of up to 70°C speed up the process and ensure any harmful  microbes are killed off). The material is then left outside to mature for a further 1-3 months with regular turning and checks to ensure quality before going on to be used as soil conditioner.
Anaerobic Digestion uses microorganisms  to break down food waste, animal manure, slurries and energy crops in the absence of oxygen, inside an enclosed system. As it breaks down it gives off methane, which is collected and converted into biogas and used to generate electricity, heat or transport fuels. It also creates a nutrient-rich digestate that can be used as a fertiliser for agriculture and in land regeneration.  Tips 1: Don't forget to make the most of your food and drink and try to avoid wasting food in the first place. For ideas, recipes and simple tips visit Love Food Hate Waste. You could also try to compost at home.  2:  A food waste caddy in your kitchen can help you to separate out your food waste for recycling and composting. This can be emptied into your compost bin or council food waste bin every couple of days. 3: Your council may recommend that you line your food waste caddy with a liner or newspaper. Only use liners that are recommended by your council as some may not break down in the composting process. 4: Where possible keep your bins out of direct sunlight and keep the bin lid closed.",10%
Metal lid,Lid,"Metal lids are fine for recycling. You can either leave a bit of the lid attached and bend it into the can, or plop them down in the can's bottom and give the can a little pinch. Straws should be placed in the trash bin. Metal is definitely recyclable. But lids and caps are often undesirable in mixed recycling — with some exceptions — because most equipment doesn't efficiently sort and separate them. During sorting, caps and lids often wind up with glass shards Remove metal lids from jelly, mustard, and other jars. Remove aluminum twist-off tops from wine, olive oil, and sparkling water bottles. If you’re inclined to press the ridged metal caps back on beer and soda bottles, don’t. After dropping empty, lid- and cap-free glass containers into your recycling bin, what do you do with the metal caps and lids?
Metal is definitely recyclable. But lids and caps are often undesirable in mixed recycling — with some exceptions — because most equipment doesn’t efficiently sort and separate them.",35%
Glass jar,Glass jar,"Can you recycle glass food jars?
No, not all glass products are recyclable. Glass used in food packaging, such as iced tea bottles and salsa jars, is recyclable and should not be tossed in the garbage. Glass cookware and storage containers are not recyclable, however.  Glass can be recycled over and over again, and virtually every city and town has access to recycling options. Glass is one of the most common items included in curbside collection programs, although most communities require you to separate glass from other items for safety reasons. If glass is not accepted through your curbside program, your local recycling center almost certainly takes it. 1800Recycling’s recycle search tool can help you find a recycling location near you. Be sure to remove any lids from your jars and rinse them well before putting them in your recycling bin. Most jar lids cannot be recycled, although if you put metal canning rings around home-canned products, those can be reused indefinitely. Lids should not be reused in canning, but if you use jars to store other items (like rice, pasta or iced tea) you can reuse the lids for that purpose. Do not include any other types of glass with your jars. Items like drinking glasses, Pyrex pans, blenders, window glass and mirrors have different properties and cannot be recycled with jars. Mixing these different types of glass will result in unusable glass that can damage equipment at recycling facilities. If you take your glass to a recycling center, be sure and sort it by color if given the option. Green, brown and clear glass separated by color is easier to recycle and can fetch a higher price from recyclers.",13%
Tupperware,Plastic container,"Plastic food storage containers and lids-such as Tupperware containers-that have the 1 or 2 recycling symbol on the bottom are accepted in almost all local recycling programs, provided they are empty, clean and dry. Recycle with the lid attached. Most recycling programs also accept #5 plastics. As for other types of plastic, check with your municipality. If you’re not sure, it’s better to be safe and dispose of your Tupperware and other plastic containers in the garbage. All plastics contain harmful chemicals that can leach into your food when they’re heated. Before reheating food in a microwave, transfer it from a plastic container to a plate or glass dish. Don’t put plastics in the dishwasher, which uses hot water and steam, wash them by hand with lukewarm water instead.",55%
Scrap metal,Scrap metal,"Scrap metal is one of the most valuable products you can recycle, and it encompasses so many consumer products. From appliances to batteries to cans to clothes hangers, metal is everywhere in our homes. Recycling metal is important to not only keep this limited supply material out of landfills, but also because it can make you money. 1: With scrap metal, the general rule is a product needs to be at least 50 percent metal. Even if that metal is surrounded by other materials like plastic, it’s worth recycling if it’s made mostly out of metal. 2: If you have products with only a small amount of metal but it’s easy to remove, separate the metal. For example, a plastic three-ring binder is not scrap metal, but remove the metal rings and now you’re talking. 3; Scrap metal is classified as either ferrous (containing iron, such as steel) and nonferrous (everything else). So, you’ll want to identify whether your metal is ferrous or nonferrous. The way to do this is with a magnet. Ferrous metals stick to a magnet; nonferrous metals don’t. 4: Use Earth911’s recycling directory to find a scrap metal recycler, and contact the company or visit its webpage to find out current payouts and if there’s a minimum amount of material you need to bring. 5: Most scrap metal recyclers will require you to bring identification when you recycle. This is to prevent people from stealing scrap metal (e.g., road signs, metal barriers) and selling it for scrap. Most cities will only accept metal cans (aluminum and steel) in the curbside recycling program. Other metals are only collected curbside if your city provides bulky waste pick-up. You’ll need to call to schedule this pick-up and tell the hauler what you have — bulky waste pick-up usually accepts miscellaneous scrap (e.g., ironing boards, aluminum bats, silverware) as well as large scrap (e.g., appliances and electronics).",75%
Squeezable tube,Squeezable tube,"Recycling centers that accept: Shampoo and Conditioner Containers- Soft Squeeze Tubes. ... This will help reduce waste because the plastic bottle containers are recyclable, but the squeeze tubes aren't. RECYCLE. Some caps for these containers are recyclable. Some caps for these containers are recyclable. If the cap has a recycling number on it, recycle it in your curbside bin.
DISPOSE OF
Throw away the package and any non-recyclable caps. Plastic tubes, e.g. for hand cream and lotions, are increasingly being made from plastics which can be recycled. Therefore if your local authority collects pots, tubs and trays, you can generally include tubes. However, there are some exceptions!  1: Tubes that have contained DIY products like mastic – the residue product can be damaging and contaminate the recycling, so these should be placed in the waste bin. 2: Toothpaste tubes – these tubes are often made of different types of plastics, as well as containing a metal layer (in order to keep it minty fresh!). In general they are not recyclable, although there have been breakthroughs including by Colgate and Terracyle offer a recycling scheme for oral care products. Pump action toothpaste tubes are easier to recycle and can be placed in the recycling if your local authority also collects plastic pots, tubs and trays. 3:  Plastic items that are less than 40 x 40mm are unlikely to be recycled because they will fall out of the recycling process in a step that is designed to remove small items of dirt and contamination.",29%
Aluminium blister pack,Blister pack,"The blister pack plastic is usually PET which can be recycled, and the foil is usually bonded to the blister tray with LDPE film, which also remains after the aluminium is dissolved, and which can be combined with other LDPE for recycling. 1: Return them to a pharmacy or chemist for safe disposal. 2: Do not flush medicines down the toilet. 3: Tablet blister packs are not recyclable and should be placed in the waste bin when empty. 4: The cardboard box that houses the blister packs can be recycled, as can any paper inserts.The cardboard box that houses the blister packs can be recycled, as can any paper inserts. 5: Visit our What To Do With Inhalers page to find out how to recycle inhalers. Unopened, unused and out-of-date medicines should be returned to pharmacies for disposal.
Inhalers should not be put in the waste bin as they contain gases which are harmful to the environment. Instead they can be recycled at any pharmacy.",30%
Pizza box,Carton,"The best way to recycle pizza boxes is to discard any leftover food in your organics collection bin before putting the box in the recycling. Any heavily greased cardboard can be torn off and put in the trash before putting the clean cardboard in the recycling stream.  Pizza boxes are normally made from corrugated cardboard which is recyclable. However most pizza boxes have food debris attached to them and a lot of grease. The grease prevents the paper fibers from binding during the recycling process and this results in a poor quality paper product. This also happens when paper plates and used paper napkins are recycled.

If the recyclable load becomes contaminated with the grease from pizza boxes then the whole load will be sent to landfill, which is a dire consequence for your sustainability goals.

The best way to recycle pizza boxes is to discard any leftover food in your organics collection bin before putting the box in the recycling. Any heavily greased cardboard can be torn off and put in the trash before putting the clean cardboard in the recycling stream. 1: Ideal locations include anywhere pizza gets regularly consumed including cafeterias, common areas, meeting rooms and dorm room buildings for students. 2: Select the right size container for the amount of pizza boxes being generated in your facility. 3: Launch the program to your employees, customers or students so they are aware that they can now toss pizza bins into the organics stream or in the recycling. 4; Customize the container to suit the bulky nature of pizza boxes. If possible the best solution is one that encourages stacking of the boxes to prevent bottle necks. 5: Continue to communicate the program after launch, and report on the progress so everyone can see how much waste is being diverted from landfill.",35%
Toilet tube,Carton,"Put a Recycling Bin in the Bathroom
Empty toilet paper rolls often never make it into the recycling bin because they get mixed with garbage. Make it easier to recycle these tubes by placing a small recycling bin in your bathroom/s. Toilet paper and paper towels cannot be recycled. Make sure that only empty rolls are recycled with cardboard.  Paper towels, napkins, paper plates, and tissues are all paper products, however they are never recyclable. ... Note: Even unused napkins and plates should not be recycled. However, they should be used for something before they are thrown away. (Tissue boxes and paper towel cores are recyclable with paper.)  1:  Desk Organizer 2: Wrapping Paper Storage 3: Fire Starters 4:  Scarf Organizers 5: Bird Feeders 6:  Cord Organizers 7: Tube Binoculars",35%
Glass cup,Cup,"While  your glass cups and wine glasses are likely made from soda-lime glass, they aren't recyclable in most places. ... Container glass (glass used in food jars and beverage bottles) shares a common melting point, making it easy to recycle together. This is why recycling programs commonly accept only container glass.Soda-lime glass is used in everything from jars to windows. It’s the most common type of glass produced. While your glass cups and wine glasses are likely made from soda-lime glass, they aren’t recyclable in most places. This is because manufacturers use additives to adjust the glass for its intended purpose. You’ve probably noticed that wine glasses break more easily than a soda bottle or a pickle jar. This is because the composition of the glass is slightly different. Even if it’s recyclable container-type glass, don’t put any broken glass in your recycling bin. Broken glass is a hazard to workers who collect and sort your recyclables. So, the only option is to throw it away. Since it’s also a hazard to trash collectors, here’s the best way to handle it: 1:  Wrap up the broken glass in newspaper or cloth and place it inside a small cardboard box. Pour any other small broken glass inside the box. 2: Stuff any additional newspaper into the box so the glass can’t bounce around as easily. 3:Tape the box closed securely and write “Broken Glass” on the outside. 4:  Throw the box into the trash bin. One last thing, while this article focuses on kitchen glassware, please note that windows and glass doors typically cannot be recycled in your city recycling bin either. Because most windows contain plastic layers between sheets of glass, they are often not accepted for recycling",25%
Wrapping paper,Paper,"Some councils will accept wrapping paper in their household recycling collection scheme but others will not as wrapping paper is not accepted by some recycled paper mills, so please check with them first. The materials that go into making some wrapping paper result in it not always being accepted for recycling:
Wrapping paper is often dyed, laminated and/or contains non-paper additives such as gold and silver coloured shapes, glitter, plastics etc which cannot be recycled
Some wrapping paper is very thin and contains few good quality fibres for recycling
A lot of wrapping paper has sticky tape attached to it which makes it very difficult to recycle.  1: Before recycling, remove any sticky tape and decorations such as ribbons and bows as these cannot be recycled. 2: Wrapping paper can only be recycled if it passes the scrunch test - simple paper wrap can be recycled but foil or glitter-decorated paper cannot and needs to go in the general waste.",64%
Six pack rings,Plastic bag & wrapper,"Like any packaging material, however, they are not meant to end up in waterways or public spaces at end of life. The rings are made of plastic #4 (LDPE) and can be recycled in programs that accept low-density polyethylene resin",84%
Plastic glooves,Plastic glooves,"Nitrile, unlike latex, can be recycled. ... When you purchase Kimberly-Clark's Nitrile gloves, they offer to help set up a recycling program in your lab. Simply collect the gloves that not going into hazardous waste bins, and when you get enough, ship them back to Kimberly-Clark.",10%
Paper straw,Straw,"Whenever you use a straw, put it inside the plastic container you saved rather than in a trash or recycling bin. If you need to, use a pair of scissors to cut the straws into smaller pieces so they fit inside the container easily. Keep putting your plastic straws in the container until it's full.",25%
Other plastic cup,Cup,"When  Lott bought a cold drink in a coffee shop she looked around the shop for where to put the cup. The coffee shops had paper cup recycling and general waste bins, but where did the plastic cups go?
Watchdog researchers visited 10 branches of each chain in different towns and cities in England. They bought an iced drink and asked the staff in the chains what to do with the plastic cup.
Pixie Lott adds “When I’m at home, I do all I can to recycle, but when I’m out and about, and I buy an iced drink or I go to a coffee shop. What am I meant to do?”",25%
Other plastic container,Plastic Container,"Regardless of size or composition, most plastic storage bins have one thing in common: they are hard to recycle. Plastic storage bins cannot go in your curbside recycling bin. ... They are typically much more interested in things like plastic water bottles, cottage cheese tubs, laundry soap bottles and milk cartons.",55%
